date,username,name,user_bio,verified,type,text,retweets,likes,replies,quotes,tweet_url,lang,geo.full_name,formatted_date,COVID?,sustainability?
2023-08-20 06:43:45+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,"@freaky_nutta Hello, sorry for the inconvenience, could you please send us a DM and we will be happy to help you! ❤️❤️",0,0,1,0,https://twitter.com/SHEIN_Official/status/1693151819881668617,en,,2023-08-20,False,False
2023-08-18 22:02:39+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,@JrLathaniel You get it! 👏,0,0,0,0,https://twitter.com/SHEIN_Official/status/1692658293330587802,en,,2023-08-18,False,False
2023-08-18 22:01:20+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,@HollyVeraAlthea You can never have too many shoes! Thank you for the love and support! 🥰,0,2,1,0,https://twitter.com/SHEIN_Official/status/1692657960340656363,en,,2023-08-18,False,False
2023-08-18 21:58:09+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,@Its_The_Witches You look amazing! Keep the spooky content comin'! 🖤,1,2,0,0,https://twitter.com/SHEIN_Official/status/1692657159396360229,en,,2023-08-18,False,False
2023-08-18 21:57:17+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,@Its_The_Witches This dress is too cute! Perfect for spooky szn! 🤍🖤,0,2,0,0,https://twitter.com/SHEIN_Official/status/1692656942714380768,en,,2023-08-18,False,False
2023-08-18 21:54:31+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,"@MonetTownes Apologies for the delay. Please DM us with your order #, so we can look into this for you.",0,0,1,0,https://twitter.com/SHEIN_Official/status/1692656243582627843,en,,2023-08-18,False,False
2023-08-18 19:24:04+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,"@JoeliiRose Our apologies. Please DM us with your order #, so we can look into this for you.",0,0,0,0,https://twitter.com/SHEIN_Official/status/1692618384280588328,en,,2023-08-18,False,False
2023-08-18 19:22:28+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,"@louekins Our apologies. Please DM us with your order #, so we can look into this for you.",0,0,0,0,https://twitter.com/SHEIN_Official/status/1692617978318057634,en,,2023-08-18,False,False
2023-08-18 19:21:51+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,@OBeachIbiza 🤠🧡,0,1,0,0,https://twitter.com/SHEIN_Official/status/1692617825322483879,qme,,2023-08-18,False,False
2023-08-18 19:20:29+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,@high_spiritual We've always got you covered! 🫡,1,1,0,0,https://twitter.com/SHEIN_Official/status/1692617482857599184,en,,2023-08-18,False,False
2023-08-18 19:06:51+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,"@rella2016 Our apologies. Please DM us with your order #, so we can look into this for you.",0,0,0,0,https://twitter.com/SHEIN_Official/status/1692614051291861336,en,,2023-08-18,False,False
2023-08-18 18:33:37+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,@JessCWashington This fit is too cute! 😍,0,1,0,0,https://twitter.com/SHEIN_Official/status/1692605684980863037,en,,2023-08-18,False,False
2023-08-18 18:32:12+00:00,SHEIN_Official,SHEIN,"🌟Save money. Live in style!\n💕SHEIN offers endless finds at affordable prices, so you can get more of what you really love. #SHEIN #saveinstyle\n✨ https://t.co/r559yml4Sh",False,reply,@wugd14 ❤️‍🔥❤️‍🔥,0,0,0,0,https://twitter.com/SHEIN_Official/status/1692605331648458819,qme,,2023-08-18,False,False
